rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,Optode 3975,1161,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,Optode 3975C,1157,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,DEFI-L,082V023,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,DEFI-L,082V025,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,MF-AZFP,55052,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,CR1000,37664,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,Data Logger,1,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,OSD Tracker,300234060470460,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,processing_site_code,10008,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,processing_site_code,26,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,RAS Box,Apollo,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,ACR8242XS ,35718,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,ACR8242XS ,35722,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,LI-1905A,Q40966,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,RAS-3-48-500,12709-01,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,3DM-GX1,9476,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,9602-LP,300234010622310,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,9602-LP,300234011736880,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,9602-N,300234060701260,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,9602-N,300234060704270,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,230A-101,110287,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,GTD,29-102-15,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,WHLS75-I-2,20814,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,Receiver,3,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,SRWSSHH1,2T027851,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,SBE16plusV2,6331,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,SBE37SM-RS485,03710136,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
GLOBAL,,,SBE37SM-RS485,03708764,2016-03-18,2016-06-30,,"","",deployment_code,str,"FluxPulse-1-2016"
