Url,Identifier,PrefLabel,Definition,Version,Deprecated,Date
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0292/,SDN:L22::TOOL0292,ASL Environmental Sciences IPS4 Ice Profiler Sonar,The ASL Environmental Sciences ISP4 is an upward looking sonar device for measuring ice keel drafts. Distance between the instrument and ice keel is measured by sonar at an operating frequency of 420 kHz with a beam width of 1.8 degrees and sampling rate of up to 2Hz. Water depth is measured by a pressure sensor and ice draft is calculated by difference. It has a depth range of 175 metres in ice or 225 metres in water and a precision of 0.05 metres.,2,false,2010-11-18 12:39:41.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1250/,SDN:L22::TOOL1250,ASL Environmental Sciences Shallow Water Ice Profiler,"An upward-looking sonar device which can be mounted on lake, river or ocean floors to measure ice draft for monitoring of ice dynamics in shallow water environments. Ice thickness is measured in real-time using an acoustic transducer, tilt sensor, high-precision pressure sensor and temperature sensor, all providing suitably high resolution for shallow water measurements. The instrument can be operated in an internal recording mode with a connection to an underwater battery pack for power, or with RS-422 serial output for real-time operation using an underwater cable which also allows for external power. The SWIP has a storage capacity up to 16 Gb, an operating frequency of either 542 kHz (standard) or 235 kHz (optional), a half-beam width of 3 degrees (standard) or 5.5 degrees (optional), a sampling rate of up to 2 Hz, and a maximum range of 20 metres. The tilt sensor has a range -20 to +20 degrees, an accuracy -0.5 to +0.5 and a precision of 0.01 degrees.",1,false,2018-07-31 10:42:08.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0844/,SDN:L22::TOOL0844,Pico-Technology PT-100 Temperature Sensor Model SE012,The platinum resistance thermometer offers a temperature range from -50 deg C to 250 deg C an accuracy of +/- 0.03 deg C at 0 deg C,1,false,2015-04-28 12:36:02.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1183/,SDN:L22::TOOL1183,Teledyne Webb Research Slocum G1+G2 Glider Navigation data logger,"A navigation and engineering logging system located within a Slocum ocean glider (G1 and G2 models). Sensors integrated can include GPS position, pressure transducer, platform altimeter and an internal clock. In addition to sensor data, engineering and inferred data are logged such as glider inferred currents and subsurface displacements. Data are output as proprietary binary format with .sdb (real time transmitted data) or .dbd (internally logged high resolution version stored on the glider memory card) files.",1,false,2017-12-05 14:13:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0061/,SDN:L22::TOOL0061,Teledyne RDI 300kHz Workhorse Monitor direct-reading ADCP,A direct reading acoustic doppler current profiler (ADCP) with a standard depth rating of 200m with a 6000m-rated case available as an option. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement. It operates effectively between temperatures of -5°C and 45°C and has a velocity accuracy of 0.5% of the water velocity ±0.5cm/s.,1,false,2009-11-30 11:56:35.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1265/,SDN:L22::TOOL1265,Institute of Oceanographic Sciences 7.5 kHz profiling sonar,"A sub-bottom profiling sonar operating at 7.5 kHz, designed to detect soft sediment thickness and layering beneath the sea bed. The instrument was manufactured by the Institute of Oceanographic Sciences, Deacon Laboratory (now National Oceanography Centre, Southampton). It has a pulse length of 0.26 ms, and a penetration range of up to 70 m over soft sediment at a resolution of less than 1 m. The instrument has a transducer which operates with a conical beam pattern of 25 degrees. This instrument was fitted on TOBI, a deep-towed multi-sensor sonar system deployed in 1999 during cruise JR39b.",1,false,2018-08-02 15:26:57.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0859/,SDN:L22::TOOL0859,Kongsberg (Simrad) TOPAS PS018 sub-bottom profiler,"TOPAS parametric sub bottom profiler is a high spatial resolution system  designed for use in depths from 10 metres to full ocean depth operation. The system is based on low frequency signal generation, high bandwidth (~80%), narrow beam profile and absent side lobes. Comprises of a transducer, transceiver unit, operator console and optional multi-channel receiver or beam former.",1,false,2015-05-27 15:47:59.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1255/,SDN:L22::TOOL1255,Unspecified 3.5 kHz sub-bottom profiler,"A 3.5 kHz sub-bottom profiler system, designed to identify and characterise layers of sediment or rock. The system is fitted with acoustic transmitters and receivers, and operates by emitting acoustic pulses downward and detecting the reflected signals. The system can penetrate between 10 m and 50 m.",1,false,2018-08-02 15:26:57.0
http://vocab.nerc.ac.uk/collection/L22/current/NETT0008/,SDN:L22::NETT0008,"BIONESS 1m - Sameoto, Jaroszynski and Fraser (1979, 1980)","Construction is a 100 cm x 100 cm mouth opening with 10 nets.  The system is powered electrically on conducting wire and controlled from a surface deck unit. Data logging includes depth, roll, pitch, flowmeter revolutions,  temperature and conductivity.  There is also a 1/4 m system. This system has basic design similarities to that of Be MPS system [Wiebe and Benfield 2003 Plate 30 C, D].",1,false,2011-10-21 14:18:49.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0361/,SDN:L22::TOOL0361,RS Aqua WaveRadar Rex wave and sea level sensor,Microwave radar measuring the distance between instrument and water surface. It uses a 9.7-10.3GHz linear sweep pulse to measure distances over the range 3-65 metres with an accuracy of +- 6mm for a range of less than 50 metres or +-12mm for longer ranges.,1,false,2010-11-24 09:31:30.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0387/,SDN:L22::TOOL0387,RBR TGR-1050P submersible tide gauge,"A pressure recorder designed to measure tides. Possible ranges are 10, 20 50 and 100 dbar, with an accuracy of ± 0.05% full scale, resolution of <0.001% full scale and a time constant of <10 msec. Pressure data are sampled at 4Hz. The sample period and the length of the averaging burst are fully programmable. It has a built-in averaging function to eliminate wave action.",1,false,2011-04-08 07:51:17.0
http://vocab.nerc.ac.uk/collection/L22/current/NETT0091/,SDN:L22::NETT0091,Marudai - Nakai (1962),"Construction comprises a 250 cm diameter mouth opening with 800 cm long net.  A series of variants designed to sample megaplankton and nekton (MDA, MDB, PMD)",1,false,2011-10-21 14:18:49.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0661/,SDN:L22::TOOL0661,Sperry Marine MK37 series gyrocompasses,"A family of instruments that contains a controlled gyroscope which seeks and aligns itself with the meridian and points to true north. They use the properties of the gyroscope in combination with the rotation of the earth and the effect of gravity. The effects of varying speed and latitude are compensated for by the use of manually operated controls. Models MOD I, MOD O, MOD D, MOD D/E are all with an analog output Step or/and Syncro. MOD VT is the latest model with NMEA Data output as well.",2,false,2015-06-16 16:49:46.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0687/,SDN:L22::TOOL0687,Sea-Bird SBE 56 temperature recorder,This is a small (30cm by 2.54cm diameter) high-accuracy battery-powered temperature and time logger capable of sampling intervals from 0.5 seconds to 9 hours. Battery life with a sampling rate of 15 seconds is almost two years and the memory can store over 15 million samples. Temperature is measured by a pressure-protected (1500m depth) thermistor. Initial accuracy is 0.002C and drift is typically less than 0.002C per year. More information may be found at http://www.seabird.com/products/spec_sheets/39imdata.htm.,1,false,2014-04-15 11:23:19.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1217/,SDN:L22::TOOL1217,YSI EXO multiparameter water quality sondes,"Comprehensive multi-parameter, water-quality monitoring sondes designed for long-term monitoring, profiling and spot sampling. The EXO sondes are split into several categories: EXO1 Sonde, EXO2 Sonde, EXO3 Sonde. Each category has a slightly different design purpose with the the EXO2 and EXO3 containing more sensor ports than the EXO1. Data are collected using up to four user-replaceable sensors and an integral pressure transducer. Users communicate with the sonde via a field cable to an EXO Handheld, via Bluetooth wireless connection to a PC, or a USB connection to a PC. Typical parameter specifications for relevant sensors include dissolved oxygen with ranges of 0-50 mg/l, with a resolution of +/- 0.1 mg/l, an accuracy of 1 percent of reading for values between 0-20 mg/l and an accuracy of +/- 5 percent of reading for values 20-50 mg/l. Temp ranges are from-5 to +50 degC, with an accuracy of +/- 0.001 degC. Conductivity has a range of 0-200 mS/cm, with an accuracy of +/-0.5 percent of reading + 0.001 mS/cm and a resolution of 0.0001 - 0.01 mS/cm.",1,false,2018-03-05 16:13:15.0
