rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,Optode 3975,1161,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,MDS-MKVL,200341,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,MDS-MKVL,200664,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,MDS-MKVL,200665,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Mooring,Mix Layer Depth,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Mooring,Pulse 6 September 2009,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Mooring,Surface Float,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,RAS Box and Frame,Artemis,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,processing_site_code,20,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,ACR8242XS,33554,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,ACR8242XS,33555,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,RAS-3-48-500,11906-01,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,230A-101,110287,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,GTD,29-102-15,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,TDR-2050,14788,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,SBE16plusV2,01606331,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,SBE37SM-RS232,6962,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,SBE43,431635,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4823,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4824,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4825,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4826,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4827,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4828,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4829,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,4830,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,6098,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,6100,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,Minilog-T,6101,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,ECO-PAR,135,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"
GLOBAL,,,FLNTUS,1215,2009-09-27,2010-03-18,,"","",deployment_code,str,"Pulse-6-2009"

VAR,LATITUDE,Pulse-6-2009,,,2009-09-27,2010-03-18,LATITUDE,"()","()",,float64,"-46.3224000000"
VAR,LONGITUDE,Pulse-6-2009,,,2009-09-27,2010-03-18,LONGITUDE,"()","()",,float64,"140.6776000000"

GLOBAL,,Pulse-6-2009,,,2009-09-27,2010-03-18,,"","",site_nominal_depth,float64,"4300.00"
GLOBAL,,Pulse-6-2009,,,2009-09-27,2010-03-18,,"","",time_deployment_start,str,"2009-09-28T00:00:00Z"
GLOBAL,,Pulse-6-2009,,,2009-09-27,2010-03-18,,"","",time_deployment_end,str,"2010-03-18T02:05:00Z"

VAR,NOMINAL_DEPTH,Pulse-6-2009,Optode 3975,1161,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"37.50"
VAR,NOMINAL_DEPTH,Pulse-6-2009,MDS-MKVL,200341,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,MDS-MKVL,200664,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"27.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,MDS-MKVL,200665,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"50.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Mooring,Mix Layer Depth,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Mooring,Pulse 6 September 2009,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Mooring,Surface Float,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,RAS Box and Frame,Artemis,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"32.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,processing_site_code,20,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,ACR8242XS,33554,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"4137.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,ACR8242XS,33555,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"4137.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,RAS-3-48-500,11906-01,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"32.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,230A-101,110287,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"37.50"
VAR,NOMINAL_DEPTH,Pulse-6-2009,GTD,29-102-15,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"37.50"
VAR,NOMINAL_DEPTH,Pulse-6-2009,TDR-2050,14788,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"630.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,SBE16plusV2,01606331,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"37.50"
VAR,NOMINAL_DEPTH,Pulse-6-2009,SBE37SM-RS232,6962,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"100.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,SBE43,431635,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"37.50"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4823,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"50.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4824,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"55.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4825,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"65.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4826,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"70.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4827,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"75.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4828,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"85.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4829,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"120.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,4830,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"140.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,6098,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"45.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,6100,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"60.00"
VAR,NOMINAL_DEPTH,Pulse-6-2009,Minilog-T,6101,2009-09-27,2010-03-18,NOMINAL_DEPTH,"()","()",,float64,"160.00"
