rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name,type,value
VAR,NOMINAL_DEPTH,,ACR8242XS,34623,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,4550
VAR,NOMINAL_DEPTH,,ACR8242XS,35504,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,4550
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Controller,12419-01,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,1000
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Controller,12419-02,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,2000
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Controller,12993-01,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,3800
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Frame,12419-01,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,1000
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Frame,12419-02,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,2000
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Frame,12993-01,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,3800
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Motor,12419-01,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,1000
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Motor,12419-02,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,2000
VAR,NOMINAL_DEPTH,,PARFLUX Mark78H-21 Motor,12993-01,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,3800
VAR,NOMINAL_DEPTH,,Aquadopp,AQD 5961,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,1200
VAR,NOMINAL_DEPTH,,TDR-2050,16370,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,3800
VAR,NOMINAL_DEPTH,,SBE37SM,1777,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,1000
VAR,NOMINAL_DEPTH,,SBE37SM,2955,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,4500
VAR,NOMINAL_DEPTH,,SBE37SM,3124,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,2000
VAR,NOMINAL_DEPTH,,Sable,3.00034E+14,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,900
VAR,NOMINAL_DEPTH,,XMF-11K,270,10/3/18,20/3/19,NOMINAL_DEPTH,(),(),,float64,900
