rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,ACR8242XS,34623,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,ACR8242XS,35504,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Controller,12419-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Controller,12419-02,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Controller,12993-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12419-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12419-02,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12993-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Motor,12419-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Motor,12419-02,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Motor,12993-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,xquxadopp,AQD 5961,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,TDR-2050,16370,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,SBE37SM,1777,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,SBE37SM,2955,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,SBE37SM,3124,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,Sable,300034013267540,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,XMF-11K,270,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
