rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,ACR8242XS,34623,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,ACR8242XS,35504,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Controller,12419-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Controller,12419-02,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Controller,12993-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12419-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12419-02,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Frame,12993-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Motor,12419-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Motor,12419-02,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,PARFLUX Mark78H-21 Motor,12993-01,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,Aquadopp,AQD 5961,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,TDR-2050,16370,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,SBE37-SM,1777,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,SBE37-SM,2955,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,SBE37-SM,3124,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,Sable,300034013267540,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"
GLOBAL,,,XMF-11K,270,2018-03-10,2019-03-20,,"","",deployment_code,str,"SAZ47-20-2018"

VAR,LATITUDE,SAZ47-20-2018,,,2018-03-10,2019-03-20,LATITUDE,"()","()",,float64,"-46.7920480000"
VAR,LONGITUDE,SAZ47-20-2018,,,2018-03-10,2019-03-20,LONGITUDE,"()","()",,float64,"141.7943560000"

GLOBAL,,SAZ47-20-2018,,,2018-03-10,2019-03-20,,"","",site_nominal_depth,float64,"4500.00"
GLOBAL,,SAZ47-20-2018,,,2018-03-10,2019-03-20,,"","",time_deployment_start,str,"2018-03-09T00:00:00Z"
GLOBAL,,SAZ47-20-2018,,,2018-03-10,2019-03-20,,"","",time_deployment_end,str,"2019-03-21T19:15:24Z"
GLOBAL,,SAZ47-20-2018,,,,,,,,voyage_deployment,str,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=IN2018_V02
GLOBAL,,SAZ47-20-2018,,,,,,,,voyage_recovery,str,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=IN2019_V02

VAR,NOMINAL_DEPTH,SAZ47-20-2018,ACR8242XS,34623,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"4550.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,ACR8242XS,35504,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"4550.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Controller,12419-01,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Controller,12419-02,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Controller,12993-01,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Frame,12419-01,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Frame,12419-02,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Frame,12993-01,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Motor,12419-01,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Motor,12419-02,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-20-2018,PARFLUX Mark78H-21 Motor,12993-01,2018-03-10,2019-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
