rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,ACR8242XS,34624,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,ACR8242XS ,35673,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Controller,11640-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Controller,11649-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Controller,11741-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Frame,10705-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Frame,14182-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Frame,2241,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Motor,11640-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Motor,11649-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,PARFLUX Mark78H-21 Motor,14182-01,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-4908 (AQD 9897),2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,TDR-2050,16371,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,SBE37SM,4906,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,SBE37SM,4907,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,SBE37SM,8985,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,Sable,300234062024470,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"
GLOBAL,,,XMF-11K,845,2019-08-01,2020-03-20,,"","",deployment_code,str,"SAZ47-21-2019"

VAR,LATITUDE,SAZ47-21-2019,,,2019-08-01,2020-03-20,LATITUDE,"()","()",,float64,"-46.8259200000"
VAR,LONGITUDE,SAZ47-21-2019,,,2019-08-01,2020-03-20,LONGITUDE,"()","()",,float64,"141.6481500000"

GLOBAL,,SAZ47-21-2019,,,2019-08-01,2020-03-20,,"","",site_nominal_depth,float64,"4500.00"
GLOBAL,,SAZ47-21-2019,,,2019-08-01,2020-03-20,,"","",time_deployment_start,str,"2019-03-20T02:45:44Z"
GLOBAL,,SAZ47-21-2019,,,2019-08-01,2020-03-20,,"","",time_deployment_end,str,"2020-09-03T21:12:34Z"

VAR,NOMINAL_DEPTH,SAZ47-21-2019,ACR8242XS,34624,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"4550.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,ACR8242XS ,35673,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"4550.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Controller,11640-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Controller,11649-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Controller,11741-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Frame,10705-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Frame,14182-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Frame,2241,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Motor,11640-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Motor,11649-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,PARFLUX Mark78H-21 Motor,14182-01,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,Aquadopp DW 2Mhz,A6L-4908 (AQD 9897),2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"1200.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,TDR-2050,16371,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"3800.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,SBE37SM,4906,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"1000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,SBE37SM,4907,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"2000.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,SBE37SM,8985,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"4500.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,Sable,300234062024470,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"800.00"
VAR,NOMINAL_DEPTH,SAZ47-21-2019,XMF-11K,845,2019-08-01,2020-03-20,NOMINAL_DEPTH,"()","()",,float64,"800.00"
