rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,*,,ASMIET LOG53,,,,,"","",keywords,str,"Oceans; Atmosphere; air temperature; air pressure; sea water conductivity; platform compass direction; surface downwelling longwave radiation; rain fall total; relative humidity; surface downwelling shortwave radiation; thermopile body temperature; thermopile dome temperature; sea water temperature; wind velocity east; thermopile voltage; wind velocity north; wind direction; wind velocity maximum; wind velocity minimum"
GLOBAL,*,,ASMIET LOG53,,,,,"","",wmo_platform_code,str,"58450"

VAR,HEIGHT_SBE,,ASMIET LOG53,,,,HEIGHT_SBE,"()","()",,float32,"-1.0"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",valid_min,float32,"-5000.0"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_SBE,,ASMIET LOG53,,,,,"","",params,str,"height for parameter CNDC, TEMP"

VAR,HEIGHT_HRH,,ASMIET LOG53,,,,HEIGHT_HRH,"()","()",,float32,"3.25"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_HRH,,ASMIET LOG53,,,,,"","",params,str,"height for parameter AIRT, RELH"
VAR,HEIGHT_BPR,,ASMIET LOG53,,,,HEIGHT_BPR,"()","()",,float32,"3.18"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_BPR,,ASMIET LOG53,,,,,"","",params,str,"height for parameter ATMP"
VAR,HEIGHT_WSPD,,ASMIET LOG53,,,,HEIGHT_WSPD,"()","()",,float32,"3.495"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_WSPD,,ASMIET LOG53,,,,,"","",params,str,"height for parameter WSPD, WSPD_MIN, WSPD_MAX, VWIND, UWIND, WDIR, COMPASS"
VAR,HEIGHT_LWR,,ASMIET LOG53,,,,HEIGHT_LWR,"()","()",,float32,"3.46"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_LWR,,ASMIET LOG53,,,,,"","",params,str,"height for parameter LW, TDOME, VPILE, TBODY"
VAR,HEIGHT_RAIT,,ASMIET LOG53,,,,HEIGHT_RAIT,"()","()",,float32,"3.49"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_RAIT,,ASMIET LOG53,,,,,"","",params,str,"height for parameter RAIT"
VAR,HEIGHT_SW,,ASMIET LOG53,,,,HEIGHT_SW,"()","()",,float32,"3.46"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",units,str,"meters"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",standard_name,str,"height"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",long_name,str,"nominal height of each sensor"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",positive,str,"up"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",axis,str,"Z"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",reference_datum,str,"Mean Sea Level (MSL)"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",valid_max,float32,"5000.0"
VAR_ATT,HEIGHT_SW,,ASMIET LOG53,,,,,"","",params,str,"height for parameter SW"

VAR_ATT,AIRT,,,,,,,"","",name,str,"air_temperature"
VAR_ATT,AIRT,,,,,,,"","",standard_name,str,"air_temperature"
VAR_ATT,AIRT,,,,,,,"","",long_name,str,"air temperature"
VAR_ATT,AIRT,,,,,,,"","",valid_min,float32,"-40.0"
VAR_ATT,AIRT,,,,,,,"","",valid_max,float32,"60.0"
VAR_ATT,AIRT,,,,,,,"","",coordinates,str,"TIME HEIGHT_HRH LATITUDE LONGITUDE"
VAR_ATT,AIRT,SOFS-8-2019,,L25,,,,"","",sensor_serial_number,str,"HRH-366"
VAR_ATT,AIRT,SOFS-8-2019,,L26,,,,"","",sensor_serial_number,str,"HRH-367"
VAR_ATT,ATMP,,,,,,,"","",name,str,"air_pressure"
VAR_ATT,ATMP,,,,,,,"","",standard_name,str,"air_pressure"
VAR_ATT,ATMP,,,,,,,"","",long_name,str,"air pressure"
VAR_ATT,ATMP,,,,,,,"","",valid_min,float32,"850.0"
VAR_ATT,ATMP,,,,,,,"","",valid_max,float32,"1050.0"
VAR_ATT,ATMP,,,,,,,"","",coordinates,str,"TIME HEIGHT_BPR LATITUDE LONGITUDE"
VAR_ATT,ATMP,SOFS-8-2019,,L25,,,,"","",sensor_serial_number,str,"BPR-278"
VAR_ATT,ATMP,SOFS-8-2019,,L26,,,,"","",sensor_serial_number,str,"BPR-279"
VAR_ATT,CNDC,,,,,,,"","",name,str,"Water conductivity"
VAR_ATT,CNDC,,,,,,,"","",standard_name,str,"sea_water_electrical_conductivity"
VAR_ATT,CNDC,,,,,,,"","",long_name,str,"sea water conductivity"
VAR_ATT,CNDC,,,,,,,"","",valid_min,float32,"0.0"
VAR_ATT,CNDC,,,,,,,"","",valid_max,float32,"40.0"
VAR_ATT,CNDC,,,,,,,"","",coordinates,str,"TIME HEIGHT_SBE LATITUDE LONGITUDE"
VAR_ATT,CNDC,SOFS-8-2019,,L25,,,,"","",sensor_serial_number,str,"SBE37-03715728"
VAR_ATT,CNDC,SOFS-8-2019,,L26,,,,"","",sensor_serial_number,str,"SBE37-03720164"
VAR_ATT,COMPASS,,,,,,,"","",name,str,"Heading (Magnetic)"
VAR_ATT,COMPASS,,,,,,,"","",long_name,str,"platform_compass_direction"
VAR_ATT,COMPASS,,,,,,,"","",valid_min,float32,"-180.0"
VAR_ATT,COMPASS,,,,,,,"","",valid_max,float32,"180.0"
