rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,6098,,,,,,comment_scale_offset,str,1.0 -2.349216e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4823,,,,,,comment_scale_offset,str,1.0 -3.328601e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4824,,,,,,comment_scale_offset,str,1.0 -3.390457e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4825,,,,,,comment_scale_offset,str,1.0 -2.813135e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4826,,,,,,comment_scale_offset,str,1.0 -2.833754e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4827,,,,,,comment_scale_offset,str,1.0 -3.761590e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4828,,,,,,comment_scale_offset,str,1.0 -3.524478e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4829,,,,,,comment_scale_offset,str,1.0 -3.555406e-01
VAR_ATT,TEMP,Pulse-6-2009,Minilog-T,4830,,,,,,comment_scale_offset,str,1.0 -3.380148e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,6098,,,,,,comment_scale_offset,str,1.0 -1.698446e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4823,,,,,,comment_scale_offset,str,1.0 -2.865755e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4824,,,,,,comment_scale_offset,str,1.0 -2.792678e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4825,,,,,,comment_scale_offset,str,1.0 -2.394600e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4826,,,,,,comment_scale_offset,str,1.0 -2.248446e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4827,,,,,,comment_scale_offset,str,1.0 -3.663833e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4828,,,,,,comment_scale_offset,str,1.0 -3.240754e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4829,,,,,,comment_scale_offset,str,1.0 -3.298446e-01
VAR_ATT,TEMP,Pulse-7-2010,Minilog-T,4830,,,,,,comment_scale_offset,str,1.0 -2.863832e-01
VAR_ATT,TEMP,Pulse-8-2011,Minilog-T,6098,,,,,,comment_scale_offset,str,1.0 -1.186939e-01
VAR_ATT,TEMP,Pulse-8-2011,Minilog-T,4823,,,,,,comment_scale_offset,str,1.0 -2.603895e-01
VAR_ATT,TEMP,Pulse-8-2011,Minilog-T,4824,,,,,,comment_scale_offset,str,1.0 -2.621542e-01
VAR_ATT,TEMP,Pulse-8-2011,Minilog-T,4825,,,,,,comment_scale_offset,str,1.0 -2.230885e-01
