rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
VAR_ATT,TIME,Pulse-6-2009,MDS-MKVL,200341,,,,,,comment_scale_offset,str,1.0 -0.04166666666667
VAR_ATT,TIME,Pulse-6-2009,MDS-MKVL,200665,,,,,,comment_scale_offset,str,1.0 -0.4166666666667
VAR_ATT,TIME,Pulse-8-2011,MDS-MKVL,200341,,,,,,comment_scale_offset,str,1.0 -0.41666666666667
VAR_ATT,TIME,Pulse-8-2011,MDS-MKVL,200664,,,,,,comment_scale_offset,str,1.0 -0.41666666666667
VAR_ATT,TIME,Pulse-8-2011,MDS-MKVL,200665,,,,,,comment_scale_offset,str,1.0 -0.41666666666667

VAR_ATT,TIME,Pulse-8-2011,SBE16plusV2,01606330,,,,,,comment_scale_offset,str,1.0 0.41666666666667
VAR_ATT,TIME,Pulse-8-2011,SBE37SM-RS232,6962,,,,,,comment_scale_offset,str,1.0 0.41666666666667

VAR_ATT,TIME,SOFS-6-2017,SBE37SM-RS485,03710136,20/3/16,8/11/16,,,,comment_scale_offset,str,"1 366"
VAR_ATT,TIME,SOFS-6-2017,SBE37SM-RS485,03708764,20/3/16,8/11/16,,,,comment_scale_offset,str,"1 367"

VAR_ATT,TIME,,SBE37,1778,2013-05-05,2015-03-27,,,,comment_scale_offset,str,"1 -1"

VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4035,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4039,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4047,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4048,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4049,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4050,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4051,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4052,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4053,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4058,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4060,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4061,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4062,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4063,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4066,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4068,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4069,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4070,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4071,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4077,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667
VAR_ATT,TIME,SOFS-7.5-2018,Starmon mini,4778,23/8/18,10/4/19,,,,comment_scale_offset,str,1.0 -0.416666666666667

VAR_ATT,TIME,SOFS-8-2019,FLNTUS,1172,2019-03-18,2020-08-01,,,,comment_scale_offset,str,1.0 -145
VAR_ATT,TIME,SOFS-8-2019,FLNTUS,1215,2019-03-18,2020-08-01,,,,comment_scale_offset,str,1.0 -145

