rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,Optode 3975,1161,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,MDS-MKVL,200341,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,MDS-MKVL,200664,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,MDS-MKVL,200665,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Mooring,Mix Layer Depth,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Mooring,Pulse 6 September 2009,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Mooring,Surface Float,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,RAS Box and Frame,Artemis,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,processing_site_code,20,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,ACR8242XS,33554,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,ACR8242XS,33555,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,RAS-3-48-500,11906-01,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,230A-101,110287,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,GTD,29-102-15,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,TDR-2050,14788,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,SBE16plusV2,1606331,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,SBE37SM-RS232,6962,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,SBE43,431635,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4823,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4824,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4825,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4826,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4827,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4828,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4829,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,4830,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,6098,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,6100,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,Minilog-T,6101,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,ECO-PAR,135,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
GLOBAL,,,FLNTUS,1215,27/9/09,18/3/10,,,,deployment_code,str,Pulse-6-2009
,,,,,,,,,,,,
VAR,LATITUDE,Pulse-6-2009,,,27/9/09,18/3/10,LATITUDE,(),(),,float64,-46.3224
VAR,LONGITUDE,Pulse-6-2009,,,27/9/09,18/3/10,LONGITUDE,(),(),,float64,140.6776
,,,,,,,,,,,,
GLOBAL,,Pulse-6-2009,,,27/9/09,18/3/10,,,,site_nominal_depth,float64,4300
GLOBAL,,Pulse-6-2009,,,27/9/09,18/3/10,,,,time_deployment_start,str,2009-09-28T00:00:00Z
GLOBAL,,Pulse-6-2009,,,27/9/09,18/3/10,,,,time_deployment_end,str,2010-03-18T02:05:00Z
GLOBAL,,Pulse-6-2009,,,,,,,,voyage_deployment,str,http://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2009_V04
GLOBAL,,Pulse-6-2009,,,,,,,,voyage_recovery,str,http://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2010_V02
,,,,,,,,,,,,
VAR_ATT,TIME,Pulse-6-2009,MDS-MKVL,200341,,,,,,comment_scale_offset,str,1.0 -0.04166666666667
VAR_ATT,PAR,Pulse-6-2009,MDS-MKVL,200341,,,,,,long_name,str,omnidirectional photosynthetic spherical photon flux in air
,,,,,,,,,,,,
VAR_ATT,PAR,Pulse-6-2009,MDS-MKVL,200341,,,,,,comment_scale_offset,str,0.7985 0
VAR_ATT,PAR,Pulse-6-2009,MDS-MKVL,200664,,,,,,comment_scale_offset,str,0.8860 0.8175
VAR_ATT,PAR,Pulse-6-2009,MDS-MKVL,200665,,,,,,comment_scale_offset,str,0.7564 0
,,,,,,,,,,,,
VAR_ATT,TIME,Pulse-6-2009,MDS-MKVL,200665,,,,,,comment_scale_offset,str,1.0 -0.4166666666667
,,,,,,,,,,,,
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,comment_attached_instrument,str,Wet-LABS ; PARS-134
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,calibration_PAR_Im,float64,1.3589
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,calibration_PAR_analog_A1,float64,0.8902
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,calibration_PAR_analog_A0,float64,1.3145
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,calibration_PAR_date,str,"Mar. 27, 2009"
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,calibration_PAR_facility,str,Wet-LABS
VAR_ATT,VOLT2,Pulse-6-2009,SBE16plus,1606331,,,,,,calibration_PAR_SN,str,PARS-134
,,,,,,,,,,,,
VAR,NOMINAL_DEPTH,Pulse-6-2009,Optode 3975,1161,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,37.5
VAR,NOMINAL_DEPTH,Pulse-6-2009,MDS-MKVL,200341,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,-0.1
VAR,NOMINAL_DEPTH,Pulse-6-2009,MDS-MKVL,200664,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,27
VAR,NOMINAL_DEPTH,Pulse-6-2009,MDS-MKVL,200665,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,50
VAR,NOMINAL_DEPTH,Pulse-6-2009,Mooring,Mix Layer Depth,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,0
VAR,NOMINAL_DEPTH,Pulse-6-2009,Mooring,Pulse 6 September 2009,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,0
VAR,NOMINAL_DEPTH,Pulse-6-2009,Mooring,Surface Float,27/9/09,18/3/10,NOMINAL_DEPTH,(),(),,float64,0
