rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,MF-AWCP,55046,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Optode 3975C,1157,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,MDS-MKV/L,201316,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,MDS-MKV/L,201318,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,MDS-MKV/L,201319,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,TriAxys,TAS03860,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Data Logger,1,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Mooring,Mix Layer Depth,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,processing_site_code,25,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,CR1000,39048,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,ACR8242XS,34623,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,ACR8242XS,34624,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,LI-1905A,Q40966,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,3DM-GX1,9476,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,9601-DGS-LP,300034012744940,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,9602-LP,300234010622310,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,A3LA-X,300025010311410,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,PCO2,19,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,WHLS75-I-2,14890,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SBE37SM,1840,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SBE37SM,2971,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SBE37SM-RS485,03707409,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SBE39,5269,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Load Cell 10826-3*,002,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4831,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4832,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4833,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4834,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4835,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4836,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4837,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4838,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4839,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4840,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4841,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,4842,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-TD,4843,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-T,6097,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Minilog-TD,6099,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,FLNTUS,1186,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,ASIMET,L22,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,ASIMET,L23,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,BPR,226,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,BPR,227,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,HRH,242,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,HRH,243,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Iridium,L22,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Iridium,L23,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,LWR,227,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,LWR,228,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,PRC,221,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,PRC,222,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,PRC Logger,221,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,PRC Logger,222,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SOFS,02,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SOFS Float,A,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SWND,214,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SWND,215,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SWR,235,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,SWR,236,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"
GLOBAL,,,Sable,300034012394750,2011-11-24,2012-07-19,,"","",deployment_code,str,"SOFS-2-2011"

VAR,LATITUDE,SOFS-2-2011,,,2011-11-24,2012-07-19,LATITUDE,"()","()",,float64,"-46.7718700000"
VAR,LONGITUDE,SOFS-2-2011,,,2011-11-24,2012-07-19,LONGITUDE,"()","()",,float64,"141.9868700000"

GLOBAL,,SOFS-2-2011,,,2011-11-24,2012-07-19,,"","",site_nominal_depth,float64,"4624.00"
GLOBAL,,SOFS-2-2011,,,2011-11-24,2012-07-19,,"","",time_deployment_start,str,"2011-11-25T00:00:00Z"
GLOBAL,,SOFS-2-2011,,,2011-11-24,2012-07-19,,"","",time_deployment_end,str,"2012-07-22T23:00:00Z"

VAR,NOMINAL_DEPTH,SOFS-2-2011,MF-AWCP,55046,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"30.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Optode 3975C,1157,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"1.50"
VAR,NOMINAL_DEPTH,SOFS-2-2011,MDS-MKV/L,201316,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"20.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,MDS-MKV/L,201318,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"40.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,MDS-MKV/L,201319,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"10.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,TriAxys,TAS03860,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Data Logger,1,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Mooring,Mix Layer Depth,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,processing_site_code,25,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,CR1000,39048,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,ACR8242XS,34623,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"4520.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,ACR8242XS,34624,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"4520.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,LI-1905A,Q40966,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-3.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,3DM-GX1,9476,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,9601-DGS-LP,300034012744940,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.80"
VAR,NOMINAL_DEPTH,SOFS-2-2011,9602-LP,300234010622310,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.83"
VAR,NOMINAL_DEPTH,SOFS-2-2011,A3LA-X,300025010311410,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,PCO2,19,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,WHLS75-I-2,14890,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"500.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,SBE37SM,1840,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"1.50"
VAR,NOMINAL_DEPTH,SOFS-2-2011,SBE37SM,2971,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"100.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,SBE37SM-RS485,03707409,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"1.50"
VAR,NOMINAL_DEPTH,SOFS-2-2011,SBE39,5269,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.83"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Load Cell 10826-3*,002,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"1.50"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4831,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"20.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4832,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"29.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4833,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"40.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4834,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"50.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4835,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"55.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4836,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"60.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4837,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"65.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4838,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"70.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4839,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"85.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4840,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"110.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4841,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"120.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,4842,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"140.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-TD,4843,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"160.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-T,6097,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"10.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,Minilog-TD,6099,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"75.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,FLNTUS,1186,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"1.50"
VAR,NOMINAL_DEPTH,SOFS-2-2011,ASIMET,L22,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,ASIMET,L23,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"0.00"
VAR,NOMINAL_DEPTH,SOFS-2-2011,BPR,226,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.83"
VAR,NOMINAL_DEPTH,SOFS-2-2011,BPR,227,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.83"
VAR,NOMINAL_DEPTH,SOFS-2-2011,HRH,242,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.83"
VAR,NOMINAL_DEPTH,SOFS-2-2011,HRH,243,2011-11-24,2012-07-19,NOMINAL_DEPTH,"()","()",,float64,"-2.83"
