rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,Optode 3975C,1420,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,TM Sampler,2,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,TM Sampler,3,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,DEFI-L,082V024,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,DEFI2-L,0AQH011,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,DEFI2-L,0AQH012,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MF-AZFP,55046,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,TriAxys,TAS04811,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,Casabel (6000 meters),3.00034E+14,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,CR1000,42881,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,Data Logger,1,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,gps-imu,1,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,processing_site_code,10007,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,processing_site_code,25,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,SOFS Tension Frame,1,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,ACR8242XS,33555,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,ACR8242XS,35505,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MS9,30,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MS9,27,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MS9,28,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,LI-190,Q47470,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MAT-1-PVC,171414,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MAT-1-PVC,171415,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MAT-1-Ti,1805305,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,MAT-1-Ti,1805306,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,RAS-3-48-500,ML 14384-01,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,3DM-GX1,5357,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,9602-LP,3.00234E+14,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,9602-LP,3.00234E+14,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,9602-LP,3.00234E+14,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
GLOBAL,,,9602-LP,3.00234E+14,23/8/18,10/4/19,,,,deployment_code,str,SOFS-7.5-2018
